product_name,quantity,selling_price,total_sales,brand_name,company,category_name,subcategory_name,bill_date,latitude,longitude,country,bill_ID
BALAJI MOONG DAL,2.0,5.0,10.0,BALAJI,BALAJI WAFERS P L,SALTY SNACKS ,DAL,2020-01-01,39.27180495,-84.37629190000001,Ohio,1
DAIRY MILK SILK,1.0,65.0,65.0,CADBURY DAIRY MILK,MONDELEZ INTERNATIONAL,CHOCOLATE,MOULDED,2020-01-01,39.27180495,-84.37629190000001,Ohio,1
DETTOL ORIGINAL,1.0,118.0,118.0,DETTOL,RECKITT BENCKISER,LIQUID TOILET SOAPS  ,HAND WASH,2020-01-01,39.27180495,-84.37629190000001,Ohio,1
GEMINI,1.0,140.0,140.0,GEMINI,CARGILL FOODS,REFINED EDIBLE OILS-ALL PACKS,RICE BRAN,2020-01-01,39.27180495,-84.37629190000001,Ohio,1
GEMINI,1.0,140.0,140.0,GEMINI,CARGILL FOODS,REFINED EDIBLE OILS-ALL PACKS,RICE BRAN,2020-01-01,39.27180495,-84.37629190000001,Ohio,1
HIT,1.0,155.0,155.0,HIT,GODREJ CONSUMER PRODS,HOME INSECTICIDES CTG  ,AEROSOL,2020-01-01,39.27180495,-84.37629190000001,Ohio,1
PEARS PURE AND GENTLE,1.0,65.0,65.0,PEARS,HINDUSTAN UNILEVER LIMITED,TOILET SOAPS ,PREMIUM,2020-01-01,39.27180495,-84.37629190000001,Ohio,1
PEARS SOFT & FRESH,1.0,39.0,39.0,PEARS,HINDUSTAN UNILEVER LIMITED,TOILET SOAPS ,PREMIUM,2020-01-01,39.27180495,-84.37629190000001,Ohio,1
SOCIETY LEAF,1.0,110.0,110.0,SOCIETY,HASMUKHRAI & CO,PACKAGED TEA,MAIN PACKS,2020-01-01,39.27180495,-84.37629190000001,Ohio,1
WHEEL GREEN,1.0,50.0,50.0,WHEEL,HINDUSTAN UNILEVER LIMITED,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,2020-01-01,39.27180495,-84.37629190000001,Ohio,1
WHEEL GREEN,4.0,9.5,38.0,WHEEL,HINDUSTAN UNILEVER LIMITED,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,2020-01-01,39.27180495,-84.37629190000001,Ohio,1
BRITANNIA BOURBON,1.0,27.0,27.0,BRITANNIA BOURBON,BRITANNIA INDS,BISCUITS - CORE & NON CORE,CREAM,2020-01-01,38.9430995,-94.6076916,Missouri,2
BROOKE BOND TAJ MAHAL TEA BAGS,1.0,50.0,,TAJ MAHAL,HINDUSTAN UNILEVER LIMITED,PACKAGED TEA,MAIN PACKS,2020-01-01,38.9430995,-94.6076916,Missouri,2
BROOKE BOND TAJ MAHAL TEA BAGS,1.0,50.0,50.0,TAJ MAHAL,HINDUSTAN UNILEVER LIMITED,PACKAGED TEA,MAIN PACKS,2020-01-01,38.9430995,-94.6076916,Missouri,2
DAIRY MILK,13.0,5.0,65.0,CADBURY DAIRY MILK,MONDELEZ INTERNATIONAL,CHOCOLATE,MOULDED,2020-01-01,38.9430995,-94.6076916,Missouri,2
EVEREADY 1015,2.0,15.0,30.0,EVEREADY,EVEREADY INDS,BATTERIES,NON-ALKALINE,2020-01-01,38.9430995,-94.6076916,Missouri,2
GILLETTE FUSION,1.0,375.0,375.0,GILLETTE,PROCTER & GAMBLE,SHAVING PREPARATIONS,GEL,2020-01-01,38.9430995,-94.6076916,Missouri,2
GILLETTE FUSION,1.0,375.0,375.0,GILLETTE,PROCTER & GAMBLE,SHAVING PREPARATIONS,GEL,2020-01-01,38.9430995,-94.6076916,Missouri,2
MAGGI MASALA,1.0,11.75,11.75,MAGGI,NESTLE INDIA,VERMICELLI & NOODLE,INSTANT NOODLES,2020-01-01,38.9430995,-94.6076916,Missouri,2
MARIE GOLD REGULAR,1.0,10.0,10.0,MARIE GOLD,BRITANNIA INDS,BISCUITS - CORE & NON CORE,MARIE,2020-01-01,38.9430995,-94.6076916,Missouri,2
SOCIETY LEAF,1.0,106.0,106.0,SOCIETY,HASMUKHRAI & CO,PACKAGED TEA,MAIN PACKS,2020-01-01,38.9430995,-94.6076916,Missouri,2
SWEEKAR,5.0,115.0,575.0,SWEEKAR,CARGILL FOODS,REFINED EDIBLE OILS-ALL PACKS,SUN FLOWER,2020-01-01,38.9430995,-94.6076916,Missouri,2
AMUL,1.0,46.0,46.0,AMUL,G C M M F,BUTTER MARGR  ,BUTTER,2020-01-01,38.88891618,-94.60734759,Missouri,3
BISK FARM SPICY,3.0,10.0,30.0,BISK FARM,SAJ INDS,BISCUITS - CORE & NON CORE,SALT CRACKER,2020-01-01,38.88891618,-94.60734759,Missouri,3
CADBURY CHOCLAIRS GOLD,1.0,110.0,110.0,CADBURY,MONDELEZ INTERNATIONAL,CONFECTIONERY - ECLAIRS,CONFECTIONERY - ECLAIRS,2020-01-01,38.88891618,-94.60734759,Missouri,3
GOOD DAY CASHEW,1.0,20.0,20.0,GOOD DAY,BRITANNIA INDS,BISCUITS - CORE & NON CORE,SWEET/COOKIES,2020-01-01,38.88891618,-94.60734759,Missouri,3
LUX PINK,2.0,29.0,58.0,LUX,HINDUSTAN UNILEVER LIMITED,TOILET SOAPS ,PREMIUM,2020-01-01,38.88891618,-94.60734759,Missouri,3
NATIONAL,1.0,60.0,60.0,NATIONAL,NATIONAL PRODUCT,SALTY SNACKS ,GATHIA/PAPRI/RIBLON,2020-01-01,38.88891618,-94.60734759,Missouri,3
POND'S  MAGIC,1.0,95.0,95.0,POND'S,HINDUSTAN UNILEVER LIMITED,TALCUM POWDERS,TALCUM POWDERS,2020-01-01,38.88891618,-94.60734759,Missouri,3
ROYAL CUP,1.0,108.0,108.0,GIRNAR,GIRNAR FOOD & BEVER,PACKAGED TEA,MAIN PACKS,2020-01-01,38.88891618,-94.60734759,Missouri,3
SUNFEAST MOM'S MGC CSHW & ALND,6.0,9.5,57.0,SUNFEAST MOM'S MAGIC,I T C,BISCUITS - CORE & NON CORE,SWEET/COOKIES,2020-01-01,38.88891618,-94.60734759,Missouri,3
CHYAWANPRASH,1.0,84.0,84.0,CHYAWANPRASH,DABUR,CHYAVANPRASH,CHYAVANPRASH,2020-01-01,39.09736789,-94.58247425,Missouri,4
DOVE CREAM BEAUTY BATHING BAR,2.0,67.0,134.0,DOVE,HINDUSTAN UNILEVER LIMITED,TOILET SOAPS ,PREMIUM,2020-01-01,39.09736789,-94.58247425,Missouri,4
HIDE & SEEK CHOCOLATE CHIP,1.0,30.0,30.0,PARLE HIDE & SEEK,PARLE PRODS,BISCUITS - CORE & NON CORE,SWEET/COOKIES,2020-01-01,39.09736789,-94.58247425,Missouri,4
