bill_ID,value,kategori
1,11,sangat sering
2,11,sangat sering
3,9,sering
4,7,sering
5,2,jarang
6,5,jarang
7,7,sering
8,6,sering
9,8,sering
10,13,sangat sering
11,7,sering
12,8,sering
13,5,jarang
14,9,sering
15,3,jarang
16,16,sangat sering
17,10,sering
18,9,sering
19,8,sering
20,6,sering
21,2,jarang
22,6,sering
23,7,sering
24,14,sangat sering
25,10,sering
26,8,sering
27,7,sering
28,16,sangat sering
29,3,jarang
30,5,jarang
31,6,sering
32,5,jarang
33,8,sering
34,26,sangat sering
35,9,sering
36,15,sangat sering
37,7,sering
38,8,sering
39,10,sering
40,5,jarang
41,5,jarang
42,10,sering
43,5,jarang
44,2,jarang
45,13,sangat sering
46,12,sangat sering
47,6,sering
48,13,sangat sering
49,4,jarang
50,5,jarang
51,8,sering
52,7,sering
53,5,jarang
54,6,sering
55,8,sering
56,9,sering
57,8,sering
58,19,sangat sering
59,9,sering
60,1,jarang
61,12,sangat sering
62,11,sangat sering
63,4,jarang
64,8,sering
65,19,sangat sering
66,11,sangat sering
67,2,jarang
68,6,sering
69,4,jarang
70,12,sangat sering
71,10,sering
72,3,jarang
73,7,sering
74,15,sangat sering
75,9,sering
76,27,sangat sering
77,7,sering
78,5,jarang
79,19,sangat sering
80,6,sering
81,6,sering
82,14,sangat sering
83,5,jarang
84,15,sangat sering
85,4,jarang
86,17,sangat sering
87,8,sering
88,13,sangat sering
89,19,sangat sering
90,10,sering
91,10,sering
92,13,sangat sering
93,13,sangat sering
94,5,jarang
95,7,sering
96,13,sangat sering
97,4,jarang
98,9,sering
99,8,sering
100,14,sangat sering
101,7,sering
102,12,sangat sering
103,8,sering
104,2,jarang
105,27,sangat sering
106,13,sangat sering
107,9,sering
108,10,sering
109,5,jarang
110,10,sering
111,4,jarang
112,7,sering
113,7,sering
114,6,sering
115,12,sangat sering
116,10,sering
117,8,sering
118,15,sangat sering
119,11,sangat sering
120,5,jarang
121,5,jarang
122,7,sering
123,7,sering
124,5,jarang
125,9,sering
126,8,sering
127,5,jarang
128,29,sangat sering
129,21,sangat sering
130,15,sangat sering
131,9,sering
132,11,sangat sering
133,4,jarang
134,14,sangat sering
135,5,jarang
136,5,jarang
137,3,jarang
138,8,sering
139,7,sering
140,5,jarang
141,8,sering
142,11,sangat sering
143,3,jarang
144,11,sangat sering
145,2,jarang
146,5,jarang
147,8,sering
148,6,sering
149,25,sangat sering
150,8,sering
151,10,sering
152,6,sering
153,9,sering
154,10,sering
155,3,jarang
156,2,jarang
157,10,sering
158,10,sering
159,7,sering
160,2,jarang
161,4,jarang
162,13,sangat sering
163,2,jarang
164,14,sangat sering
165,8,sering
166,8,sering
167,5,jarang
168,5,jarang
169,10,sering
170,4,jarang
171,7,sering
172,3,jarang
173,6,sering
174,13,sangat sering
175,6,sering
176,14,sangat sering
177,7,sering
178,5,jarang
179,10,sering
180,11,sangat sering
181,7,sering
182,8,sering
183,6,sering
184,3,jarang
185,6,sering
186,6,sering
187,8,sering
188,6,sering
189,4,jarang
190,4,jarang
191,3,jarang
192,4,jarang
193,14,sangat sering
194,4,jarang
195,5,jarang
196,7,sering
197,6,sering
198,6,sering
199,5,jarang
200,8,sering
201,10,sering
202,5,jarang
203,4,jarang
204,7,sering
205,6,sering
206,7,sering
207,6,sering
208,12,sangat sering
209,4,jarang
210,23,sangat sering
211,16,sangat sering
212,9,sering
213,26,sangat sering
214,3,jarang
215,7,sering
216,8,sering
217,14,sangat sering
218,7,sering
219,17,sangat sering
220,10,sering
221,22,sangat sering
222,8,sering
223,10,sering
224,15,sangat sering
225,21,sangat sering
226,11,sangat sering
227,6,sering
228,4,jarang
229,12,sangat sering
230,8,sering
231,7,sering
232,4,jarang
233,8,sering
234,4,jarang
235,12,sangat sering
236,3,jarang
237,2,jarang
238,1,jarang
239,2,jarang
240,3,jarang
241,5,jarang
242,9,sering
243,2,jarang
244,3,jarang
245,3,jarang
246,8,sering
247,9,sering
248,8,sering
249,2,jarang
250,5,jarang
251,4,jarang
252,8,sering
253,6,sering
254,4,jarang
255,5,jarang
256,6,sering
257,8,sering
258,8,sering
259,5,jarang
260,2,jarang
261,8,sering
262,13,sangat sering
263,6,sering
264,12,sangat sering
265,12,sangat sering
266,6,sering
267,3,jarang
268,11,sangat sering
269,9,sering
270,12,sangat sering
271,12,sangat sering
272,14,sangat sering
273,5,jarang
274,6,sering
275,6,sering
276,11,sangat sering
277,11,sangat sering
278,6,sering
279,2,jarang
280,10,sering
281,14,sangat sering
282,3,jarang
283,4,jarang
284,7,sering
285,3,jarang
286,7,sering
287,7,sering
288,2,jarang
289,5,jarang
290,11,sangat sering
291,5,jarang
292,5,jarang
293,4,jarang
294,12,sangat sering
295,13,sangat sering
296,9,sering
297,4,jarang
298,6,sering
299,4,jarang
300,3,jarang
301,4,jarang
302,7,sering
303,8,sering
304,8,sering
305,8,sering
306,11,sangat sering
307,6,sering
308,6,sering
309,3,jarang
310,6,sering
311,2,jarang
312,1,jarang
313,5,jarang
314,5,jarang
315,3,jarang
316,4,jarang
317,7,sering
318,14,sangat sering
319,3,jarang
320,10,sering
321,4,jarang
322,11,sangat sering
323,4,jarang
324,9,sering
325,3,jarang
326,6,sering
327,9,sering
328,12,sangat sering
329,5,jarang
330,15,sangat sering
331,7,sering
